symptom,state,Up to 2018-08-01,Up to 2018-09-01,aggregate_correlation
Hemianopsia,CO,13,23,22
Hemiplegia,CO,59,47,37
Hemoglobinuria,CO,11,5,20
Hemoptysis,CO,35,33,83
Hiccup,CO,19,16,28
Hirsutism,CO,66,65,68
Hoarseness,CO,32,69,80
Horner Syndrome,CO,65,64,67
Hot Flashes,CO,22,18,31
Hydrops Fetalis,CO,29,41,77
Hyperacusis,CO,64,63,66
Hyperalgesia,CO,82,83,57
Hypercapnia,CO,1,3,62
Hyperemesis Gravidarum,CO,23,30,33
Hyperesthesia,CO,32,69,80
Hyperventilation,CO,52,36,54
Hypocapnia,CO,9,22,18
Hypothermia,CO,62,50,40
Hypoventilation,CO,28,40,76
Illusions,CO,76,77,45
Intermittent Claudication,CO,72,74,42
Jaundice,CO,44,55,11
Korsakoff Syndrome,CO,13,23,22
Labor Pain,CO,33,35,81
Lethargy,CO,77,78,46
Livedo Reticularis,CO,35,33,83
Low Back Pain,CO,43,60,7
Mental Retardation,CO,76,77,45
Metatarsalgia,CO,71,73,41
Miosis,CO,75,76,44
Morning Sickness,CO,20,17,29
Motion Sickness,CO,34,37,82
Mouth Breathing,CO,82,83,57
Muscle Cramp,CO,74,71,47
Muscle Weakness,CO,52,56,54
Muscular Atrophy,CO,83,84,58
Mutism,CO,65,64,67
Myoclonus,CO,55,44,50
Myotonia,CO,84,85,59
Nausea,CO,21,19,30
Neck Pain,CO,21,19,30
Neuralgia,CO,76,77,45
Nocturia,CO,67,66,69
Obesity,CO,76,77,45
Oliguria,CO,46,32,9
Ophthalmoplegia,CO,7,12,16
Orthostatic Intolerance,CO,29,41,77
Overweight,CO,47,2,10
Pain,CO,21,19,30
Pallor,CO,45,55,8
Paralysis,CO,21,19,30
Paraplegia,CO,41,57,4
Paresis,CO,38,53,1
Paresthesia,CO,73,75,43
Pelvic Pain,CO,21,19,30
Persistent Vegetative State,CO,83,84,58
Photophobia,CO,32,69,80
Polyuria,CO,58,44,36
Presbycusis,CO,83,84,58
Prosopagnosia,CO,84,85,59
Proteinuria,CO,71,73,41
Pruritus,CO,53,72,49
Pseudophakia,CO,25,25,34
Purpura,CO,75,76,44
Quadriplegia,CO,15,7,24
Renal Colic,CO,1,3,62
Sarcopenia,CO,66,65,68
Sciatica,CO,21,19,30
Scotoma,CO,41,57,4
Seizures,CO,21,19,30
Shoulder Pain,CO,21,19,30
Sleep Deprivation,CO,77,78,46
Sleep Disorders,CO,74,71,47
Sneezing,CO,21,19,30
Snoring,CO,21,19,30
Spasm,CO,18,61,72
Stupor,CO,40,52,3
Stuttering,CO,54,54,56
Sweating Sickness,CO,10,13,19
Syncope,CO,68,67,70
Synkinesis,CO,12,6,21
Tetany,CO,5,27,14
Tics,CO,69,70,48
Tinea Pedis,CO,33,35,81
Tinnitus,CO,21,19,30
Toothache,CO,21,19,30
Torticollis,CO,26,38,74
Tremor,CO,70,62,73
Trismus,CO,41,58,5
Unconsciousness,CO,60,48,38
Urinary Incontinence,CO,2,4,63
Vertigo,CO,63,61,71
Vomiting,CO,21,19,30
Waterhouse-Friderichsen Syndrome,CO,79,80,61
Weight Gain,CO,21,19,30
Weight Loss,CO,21,19,30
Abdominal Pain,CT,78,37,76
Acute Coronary Syndrome,CT,28,1,48
Ageusia,CT,54,58,57
Agnosia,CT,44,82,7
Amaurosis Fugax,CT,79,39,77
Amblyopia,CT,75,30,73
Amnesia,CT,82,34,80
Angina Pectoris,CT,59,69,62
Anisocoria,CT,41,59,1
Anomia,CT,22,31,37
Anorexia,CT,15,85,23
Anoxia,CT,30,12,39
Aphasia,CT,7,74,19
Aphonia,CT,11,83,25
Apnea,CT,37,40,50
Arthralgia,CT,43,81,6
Asthenia,CT,13,84,24
Ataxia,CT,52,77,55
Back Pain,CT,78,37,76
Birth Weight,CT,24,56,44
Blindness,CT,15,85,23
Body Weight,CT,5,57,15
Bulimia,CT,15,85,23
Cachexia,CT,49,73,4
Catatonia,CT,44,82,7
Chest Pain,CT,78,37,76
Chills,CT,78,37,76
Chorea,CT,10,51,17
Colic,CT,38,4,52
Coma,CT,69,32,32
Communication Disorders,CT,61,71,64
Confusion,CT,17,87,22
Constipation,CT,78,37,76
Coprophagia,CT,62,16,65
Cough,CT,78,37,76
Cyanosis,CT,27,21,47
Deafness,CT,16,86,21
Delirium,CT,48,72,3
Diarrhea,CT,78,37,76
Diplopia,CT,12,7,26
Dizziness,CT,78,37,76
Dysarthria,CT,55,23,58
Dysgeusia,CT,65,49,28
Dyslexia,CT,52,77,55
Dysmenorrhea,CT,31,13,40
Dyspepsia,CT,6,53,16
Dysphonia,CT,56,65,59
Dyspnea,CT,47,79,10
Dystonia,CT,14,84,18
Dysuria,CT,30,12,39
Earache,CT,38,4,52
Ecchymosis,CT,42,60,2
Echolalia,CT,41,59,1
Edema,CT,35,3,51
Emaciation,CT,76,35,74
Encopresis,CT,9,52,18
Eructation,CT,73,28,71
Eye Pain,CT,78,37,76
Facial Pain,CT,3,63,13
Fasciculation,CT,66,50,29
Fatigue,CT,78,37,76
Feminization,CT,15,85,23
Fever,CT,78,37,76
Flank Pain,CT,25,11,45
Flatulence,CT,17,87,22
Flushing,CT,67,33,30
Gagging,CT,39,6,53
Gastroparesis,CT,60,70,63
Halitosis,CT,16,86,21
Hallucinations,CT,83,41,81
Headache,CT,78,37,76
Hearing Loss,CT,57,66,60
Heart Murmurs,CT,32,9,41
Heartburn,CT,78,37,76
Hematemesis,CT,42,59,2
Hemianopsia,CT,58,68,61
Hemiplegia,CT,60,70,63
Hemoglobinuria,CT,58,68,61
Hemoptysis,CT,55,67,58
Hiccup,CT,68,72,31
Hirsutism,CT,10,54,17
Hoarseness,CT,29,2,49
Horner Syndrome,CT,86,19,84
Hot Flashes,CT,37,5,50
Hydrops Fetalis,CT,70,25,68
Hyperacusis,CT,28,1,48
Hyperalgesia,CT,22,31,37
Hypercapnia,CT,73,28,71
Hyperemesis Gravidarum,CT,81,42,79
Hyperesthesia,CT,2,62,12
Hyperventilation,CT,26,21,46
Hypothermia,CT,11,83,25
Hypoventilation,CT,32,9,41
Illusions,CT,15,85,23
Intermittent Claudication,CT,84,14,82
Jaundice,CT,7,51,19
Korsakoff Syndrome,CT,51,75,54
Labor Pain,CT,65,49,28
Lethargy,CT,71,24,69
Livedo Reticularis,CT,85,55,83
Low Back Pain,CT,26,11,46
Mental Retardation,CT,15,85,23
Metatarsalgia,CT,42,59,2
Miosis,CT,23,26,38
Morning Sickness,CT,74,29,72
Motion Sickness,CT,20,45,35
Mouth Breathing,CT,51,75,54
Muscle Cramp,CT,11,83,25
Muscle Weakness,CT,4,64,14
Muscular Atrophy,CT,20,45,35
Mutism,CT,30,12,39
Myoclonus,CT,34,8,43
Myotonia,CT,1,61,11
Nausea,CT,78,37,76
Neck Pain,CT,78,37,76
Neuralgia,CT,36,47,27
Nocturia,CT,18,43,33
Obesity,CT,15,85,23
Oliguria,CT,77,36,75
Ophthalmoplegia,CT,54,67,57
Orthostatic Intolerance,CT,20,45,35
Overweight,CT,28,1,48
Pain,CT,78,37,76
Pallor,CT,44,82,7
Paralysis,CT,11,83,25
Paraplegia,CT,46,78,9
Paresis,CT,45,80,8
Paresthesia,CT,48,76,3
Pelvic Pain,CT,40,3,51
Photophobia,CT,11,83,25
Polyuria,CT,21,46,36
Presbycusis,CT,27,22,47
Prosopagnosia,CT,1,61,11
Proteinuria,CT,9,52,17
Pruritus,CT,50,27,5
Pseudophakia,CT,80,38,78
Purpura,CT,33,10,42
Quadriplegia,CT,87,20,85
Renal Colic,CT,28,1,48
Sarcopenia,CT,49,73,4
Sciatica,CT,78,37,76
Scotoma,CT,43,81,6
Seizures,CT,51,75,54
Shoulder Pain,CT,78,37,76
Sleep Deprivation,CT,17,87,22
Sleep Disorders,CT,15,85,23
Sneezing,CT,78,37,76
Snoring,CT,78,37,76
Spasm,CT,46,78,9
Stupor,CT,63,17,66
Stuttering,CT,45,80,8
Sweating Sickness,CT,63,17,66
Syncope,CT,53,76,56
Tetany,CT,72,15,70
Tics,CT,19,44,34
Tinea Pedis,CT,62,16,65
Tinnitus,CT,52,77,55
Toothache,CT,78,37,76
Torticollis,CT,10,11,17
Tremor,CT,35,48,27
Trismus,CT,64,18,67
Unconsciousness,CT,11,83,25
Urinary Incontinence,CT,8,60,20
Vertigo,CT,42,60,2
Vomiting,CT,78,37,76
Weight Gain,CT,78,37,76
Weight Loss,CT,78,37,76
Abdominal Pain,DC,26,31,30
Agnosia,DC,73,42,65
Alien Hand Syndrome,DC,4,13,13
Amblyopia,DC,55,64,49
Amnesia,DC,9,28,39
Angina Pectoris,DC,31,72,67
Anisocoria,DC,10,18,40
Anomia,DC,29,38,33
Anorexia,DC,58,59,44
Anoxia,DC,55,64,49
Aphasia,DC,62,63,48
Apnea,DC,23,34,34
Arthralgia,DC,1,7,10
Asthenia,DC,8,17,37
Ataxia,DC,49,54,54
Back Pain,DC,26,31,30
Birth Weight,DC,12,20,42
Blindness,DC,58,59,44
Body Weight,DC,56,65,55
Bulimia,DC,58,59,44
Cachexia,DC,85,80,77
Catatonia,DC,42,78,85
Chest Pain,DC,26,31,30
Chills,DC,26,31,30
Chorea,DC,39,8,5
Colic,DC,17,29,25
Coma,DC,28,33,32
Confusion,DC,76,47,63
Constipation,DC,26,31,30
Coprophagia,DC,73,42,65
Cough,DC,26,31,30
Cyanosis,DC,55,64,49
Deafness,DC,59,60,45
Delirium,DC,24,35,35
Diarrhea,DC,26,31,30
Diplopia,DC,70,46,62
Dizziness,DC,26,31,30
Dysarthria,DC,8,17,38
Dysgeusia,DC,83,52,18
Dyslexia,DC,60,61,46
Dysmenorrhea,DC,51,56,57
Dyspepsia,DC,63,67,69
Dysphonia,DC,64,1,1
Dyspnea,DC,43,77,86
Dystonia,DC,48,87,79
Dysuria,DC,12,20,42
Earache,DC,26,31,30
Ecchymosis,DC,7,16,17
Echolalia,DC,6,15,16
Edema,DC,25,30,29
Emaciation,DC,19,24,27
Encopresis,DC,69,39,75
Eye Pain,DC,26,31,30
Fatigue,DC,26,31,30
Feminization,DC,58,59,44
Fever,DC,26,31,30
Flank Pain,DC,46,84,84
Flatulence,DC,45,74,87
Flushing,DC,27,32,31
Gagging,DC,18,23,26
Gastroparesis,DC,47,76,89
Halitosis,DC,73,42,65
Hallucinations,DC,5,14,14
Headache,DC,26,31,30
Hearing Loss,DC,67,50,73
Heartburn,DC,26,31,30
Hematemesis,DC,3,11,12
Hemianopsia,DC,13,21,43
Hemiplegia,DC,3,11,12
Hemoptysis,DC,84,53,19
Hiccup,DC,37,5,3
Hirsutism,DC,86,81,78
Hoarseness,DC,40,82,80
Horner Syndrome,DC,55,64,49
Hot Flashes,DC,65,85,82
Hyperacusis,DC,11,19,41
Hypercapnia,DC,75,46,61
Hyperemesis Gravidarum,DC,30,2,2
Hyperventilation,DC,60,61,46
Hypothermia,DC,72,41,60
Hypoventilation,DC,35,3,6
Illusions,DC,58,59,44
Jaundice,DC,16,22,24
Lethargy,DC,44,9,8
Livedo Reticularis,DC,33,70,71
Low Back Pain,DC,78,45,76
Metatarsalgia,DC,36,4,7
Miosis,DC,45,75,88
Morning Sickness,DC,26,31,30
Motion Sickness,DC,5,14,14
Mutism,DC,68,69,74
Myoclonus,DC,75,46,61
Myotonia,DC,41,83,81
Nausea,DC,26,31,30
Neck Pain,DC,26,31,30
Neuralgia,DC,67,77,73
Nocturia,DC,71,40,59
Obesity,DC,58,59,44
Oliguria,DC,79,26,20
Ophthalmoplegia,DC,20,25,28
Orthostatic Intolerance,DC,34,73,68
Overweight,DC,66,86,83
Pain,DC,26,31,30
Pallor,DC,14,36,36
Paralysis,DC,25,30,29
Paraplegia,DC,32,71,72
Paresis,DC,81,51,22
Paresthesia,DC,23,34,34
Pelvic Pain,DC,26,31,30
Persistent Vegetative State,DC,83,52,18
Photophobia,DC,50,55,52
Polyuria,DC,38,6,4
Presbycusis,DC,8,17,38
Prosopagnosia,DC,45,74,87
Proteinuria,DC,2,12,11
Pruritus,DC,82,49,23
Purpura,DC,61,62,47
Quadriplegia,DC,6,15,15
Renal Colic,DC,16,22,24
Sarcopenia,DC,52,57,53
Sciatica,DC,25,31,29
Scotoma,DC,80,27,21
Seizures,DC,57,66,50
Shoulder Pain,DC,26,31,30
Sleep Deprivation,DC,73,42,65
Sleep Disorders,DC,58,59,44
Sneezing,DC,26,31,30
Snoring,DC,21,10,37
Spasm,DC,22,79,90
Stupor,DC,71,40,59
Stuttering,DC,74,43,66
Sweating Sickness,DC,15,37,9
Syncope,DC,56,65,51
Tetany,DC,4,13,13
Tics,DC,53,58,58
Tinea Pedis,DC,40,82,80
Tinnitus,DC,54,48,56
Toothache,DC,26,31,30
Torticollis,DC,63,68,70
Tremor,DC,77,44,64
Trismus,DC,81,51,22
Urinary Incontinence,DC,68,49,74
Vertigo,DC,77,44,64
Vomiting,DC,26,31,30
Weight Gain,DC,26,31,30
Weight Loss,DC,26,31,30
Abdominal Pain,DE,25,44,13
Agnosia,DE,20,9,38
Amnesia,DE,47,52,10
Anorexia,DE,31,12,50
Aphasia,DE,35,20,7
Apnea,DE,64,37,27
Arthralgia,DE,32,13,51
Ataxia,DE,42,47,12
Back Pain,DE,52,28,21
Birth Weight,DE,41,46,11
Blindness,DE,14,3,44
Body Weight,DE,18,18,48
Bulimia,DE,7,61,60
Chest Pain,DE,49,29,25
Chills,DE,3,55,3
Chorea,DE,46,51,53
Colic,DE,63,40,64
Coma,DE,35,20,7
Confusion,DE,23,57,65
Constipation,DE,48,31,24
Cough,DE,52,28,21
Cyanosis,DE,47,52,10
Deafness,DE,32,13,51
Delirium,DE,27,39,54
Diarrhea,DE,52,28,21
Diplopia,DE,46,51,53
Dizziness,DE,3,55,3
Dysarthria,DE,26,59,14
Dyslexia,DE,8,62,61
Dysmenorrhea,DE,57,24,31
Dyspepsia,DE,65,38,33
Dyspnea,DE,43,48,8
Dystonia,DE,39,4,18
Dysuria,DE,59,33,32
Earache,DE,6,60,63
Ecchymosis,DE,55,22,29
Echolalia,DE,38,42,17
Edema,DE,13,5,43
Eye Pain,DE,54,25,28
Fatigue,DE,9,63,62
Feminization,DE,13,6,43
Fever,DE,52,28,21
Flatulence,DE,28,15,55
Flushing,DE,4,56,4
Gagging,DE,19,19,49
Gastroparesis,DE,1,54,1
Halitosis,DE,14,3,44
Hallucinations,DE,34,20,6
Headache,DE,52,28,21
Hearing Loss,DE,33,13,52
Heartburn,DE,51,27,20
Hemiplegia,DE,63,40,64
Hemoptysis,DE,16,14,46
Hiccup,DE,59,33,32
Hirsutism,DE,10,64,58
Hot Flashes,DE,50,26,26
Hyperemesis Gravidarum,DE,1,54,1
Hyperventilation,DE,4,56,4
Hypocapnia,DE,66,41,59
Hypothermia,DE,44,49,9
Illusions,DE,31,12,50
Jaundice,DE,11,1,41
Lethargy,DE,12,2,42
Low Back Pain,DE,34,20,6
Morning Sickness,DE,15,7,45
Motion Sickness,DE,38,42,17
Myoclonus,DE,40,43,19
Nausea,DE,52,28,21
Neck Pain,DE,51,27,20
Neuralgia,DE,16,14,46
Nocturia,DE,41,46,11
Obesity,DE,31,12,50
Oliguria,DE,29,16,56
Orthostatic Intolerance,DE,11,1,41
Overweight,DE,27,39,54
Pain,DE,52,28,21
Pallor,DE,21,10,39
Paralysis,DE,12,2,42
Paresthesia,DE,60,34,34
Pelvic Pain,DE,32,13,51
Polyuria,DE,6,60,63
Prosopagnosia,DE,56,23,30
Proteinuria,DE,60,34,34
Pruritus,DE,61,35,35
Purpura,DE,36,8,15
Sciatica,DE,34,21,6
Seizures,DE,5,5,5
Shoulder Pain,DE,37,53,16
Sleep Deprivation,DE,32,13,51
Sneezing,DE,2,54,2
Snoring,DE,22,11,40
Spasm,DE,17,17,47
Stupor,DE,53,30,22
Stuttering,DE,24,58,66
Syncope,DE,47,52,10
Tetany,DE,6,60,63
Tics,DE,62,36,36
Tinnitus,DE,36,17,15
Toothache,DE,49,32,25
Torticollis,DE,30,8,57
Tremor,DE,58,45,37
Vertigo,DE,18,18,48
Vomiting,DE,48,31,24
Weight Gain,DE,45,50,23
Weight Loss,DE,52,28,21
Abdominal Pain,FL,11,22,8
Acute Coronary Syndrome,FL,45,54,35
Ageusia,FL,33,50,71
Agnosia,FL,30,7,68
Agraphia,FL,55,71,49
Albuminuria,FL,33,50,71
Alien Hand Syndrome,FL,15,27,26
Amaurosis Fugax,FL,60,41,54
Amblyopia,FL,61,36,55
Amnesia,FL,11,21,8
Angina Pectoris,FL,31,8,69
Anisocoria,FL,58,73,52
Anomia,FL,37,12,17
Anorexia,FL,53,75,47
Anoxia,FL,51,70,45
Aphasia,FL,11,22,8
Aphonia,FL,45,30,35
Apnea,FL,11,22,8
Arthralgia,FL,36,5,16
Asthenia,FL,55,71,49
Ataxia,FL,11,22,8
Athetosis,FL,43,67,42
Back Pain,FL,11,22,8
Birth Weight,FL,58,73,52
Blindness,FL,53,75,47
Body Weight,FL,12,21,9
Body Weight Changes,FL,50,69,44
Bulimia,FL,53,75,47
Cachexia,FL,63,39,57
Catalepsy,FL,45,57,35
Catatonia,FL,10,19,7
Cerebellar Ataxia,FL,72,45,62
Chest Pain,FL,11,22,8
Chills,FL,11,22,8
Chorea,FL,55,71,49
Colic,FL,11,22,8
Coma,FL,11,22,8
Communication Disorders,FL,50,69,44
Confusion,FL,1,59,29
Constipation,FL,11,22,8
Coprophagia,FL,51,70,45
Cough,FL,11,22,8
Cyanosis,FL,72,46,62
Deafness,FL,53,75,47
Delirium,FL,25,49,74
Diarrhea,FL,11,22,8
Diplopia,FL,47,55,37
Dizziness,FL,11,22,8
Dysarthria,FL,68,15,66
Dysgeusia,FL,57,72,51
Dyskinesias,FL,41,63,40
Dyslexia,FL,30,7,68
Dysmenorrhea,FL,8,47,2
Dyspepsia,FL,32,9,70
Dysphonia,FL,54,74,48
Dyspnea,FL,11,22,8
Dystonia,FL,17,29,28
Dysuria,FL,11,22,8
Earache,FL,11,22,8
Ecchymosis,FL,37,12,17
Echolalia,FL,42,64,41
Edema,FL,11,22,8
Emaciation,FL,28,1,14
Encopresis,FL,31,8,69
Eructation,FL,48,56,38
Eye Hemorrhage,FL,49,53,39
Eye Pain,FL,11,22,8
Facial Pain,FL,55,71,49
Facial Paralysis,FL,52,25,46
Fasciculation,FL,58,73,52
Fatigue,FL,11,22,8
Feminization,FL,53,75,47
Fetal Weight,FL,66,42,64
Fever,FL,11,22,8
Flank Pain,FL,11,22,8
Flatulence,FL,55,71,49
Flushing,FL,13,16,10
Gagging,FL,9,26,3
Gastroparesis,FL,11,22,8
Gerstmann Syndrome,FL,18,33,23
Halitosis,FL,73,44,60
Hallucinations,FL,11,22,8
Headache,FL,11,22,8
Hearing Loss,FL,9,26,4
Heart Murmurs,FL,53,75,47
Heartburn,FL,11,22,8
Hematemesis,FL,39,4,19
Hemianopsia,FL,69,13,67
Hemifacial Spasm,FL,73,44,60
Hemiplegia,FL,64,25,58
Hemoglobinuria,FL,45,58,35
Hemoptysis,FL,21,17,5
Hiccup,FL,11,22,8
Hirsutism,FL,26,3,12
Hoarseness,FL,29,2,15
Horner Syndrome,FL,3,65,31
Hot Flashes,FL,11,22,8
Hydrops Fetalis,FL,66,42,64
Hyperacusis,FL,46,11,36
Hyperalgesia,FL,15,27,26
Hypercalciuria,FL,23,31,21
Hypercapnia,FL,65,38,59
Hyperemesis Gravidarum,FL,14,24,11
Hyperesthesia,FL,51,70,45
Hypergammaglobulinemia,FL,5,61,33
Hyperkinesis,FL,41,63,40
Hyperoxia,FL,59,40,53
Hyperphagia,FL,67,43,65
Hyperventilation,FL,54,76,48
Hypesthesia,FL,61,36,55
Hypocapnia,FL,6,62,34
Hypokinesia,FL,59,40,53
Hypothermia,FL,22,18,6
Hypoventilation,FL,59,38,53
Illusions,FL,53,75,47
Intermittent Claudication,FL,38,10,18
Jaundice,FL,11,20,8
Korsakoff Syndrome,FL,55,71,49
Labor Pain,FL,11,22,8
Language Disorders,FL,53,75,47
Learning Disorders,FL,53,75,47
Lethargy,FL,36,5,16
Livedo Reticularis,FL,58,73,52
Low Back Pain,FL,9,26,3
Mental Fatigue,FL,58,73,52
Mental Retardation,FL,53,75,47
Metatarsalgia,FL,46,56,36
Miosis,FL,52,76,46
Morning Sickness,FL,11,21,8
Motion Sickness,FL,10,19,7
Mouth Breathing,FL,7,20,1
Muscle Cramp,FL,46,11,36
Muscle Weakness,FL,69,14,67
Muscular Atrophy,FL,54,76,48
Mutism,FL,70,48,63
Myoclonus,FL,38,74,18
Myokymia,FL,58,73,52
Myotonia,FL,56,71,50
Nausea,FL,11,22,8
Neck Pain,FL,11,22,8
Necrolytic Migratory Erythema,FL,2,60,30
Neuralgia,FL,7,46,1
Nocturia,FL,29,2,15
Obesity,FL,53,75,47
Oliguria,FL,11,22,8
Ophthalmoplegia,FL,34,50,72
Orthostatic Intolerance,FL,41,63,40
Overweight,FL,29,2,15
Pain,FL,11,22,8
Pallor,FL,11,23,8
Paralysis,FL,11,22,8
Paraparesis,FL,41,63,40
Paraplegia,FL,57,72,51
Paresis,FL,53,75,47
Paresthesia,FL,11,22,8
Pelvic Pain,FL,11,22,8
Persistent Vegetative State,FL,52,76,46
Phantom Limb,FL,73,44,60
Photophobia,FL,45,54,35
Polyuria,FL,4,66,32
Presbycusis,FL,34,51,72
Prosopagnosia,FL,35,52,73
Proteinuria,FL,73,44,60
Pruritus,FL,40,6,20
Pseudophakia,FL,28,1,14
Psychomotor Agitation,FL,16,28,27
Purpura,FL,29,2,15
Purpura Fulminans,FL,50,69,44
Quadriplegia,FL,74,44,61
Renal Colic,FL,48,56,38
Respiratory Sounds,FL,20,35,25
Reticulocytosis,FL,25,49,74
Sarcopenia,FL,38,10,18
Sciatica,FL,11,22,8
Scotoma,FL,39,4,19
Seizures,FL,11,22,8
Shoulder Pain,FL,11,22,8
Sleep Deprivation,FL,40,6,20
Sleep Disorders,FL,53,75,47
Sneezing,FL,11,22,8
Snoring,FL,11,22,8
Spasm,FL,11,22,8
Speech Disorders,FL,47,55,37
Stupor,FL,27,20,13
Stuttering,FL,40,6,20
Susac Syndrome,FL,71,30,75
Sweating Sickness,FL,24,32,22
Syncope,FL,12,22,9
Synkinesis,FL,28,1,14
Tetany,FL,29,2,15
Thinness,FL,45,53,35
Tics,FL,62,37,56
Tinea Pedis,FL,54,71,48
Tinnitus,FL,11,22,8
Toothache,FL,11,22,8
Torticollis,FL,39,4,19
Tremor,FL,68,15,66
Trismus,FL,44,68,43
Unconsciousness,FL,55,71,49
Urinary Incontinence,FL,37,12,17
Vertigo,FL,28,1,14
Vocal Cord Paralysis,FL,47,55,37
Vomiting,FL,11,22,8
Waterhouse-Friderichsen Syndrome,FL,19,34,24
Weight Gain,FL,11,22,8
Weight Loss,FL,12,21,9
Abdominal Pain,GA,83,27,78
Acute Coronary Syndrome,GA,33,67,37
Ageusia,GA,70,16,7
Agnosia,GA,26,54,30
Agraphia,GA,12,76,50
Albuminuria,GA,59,34,64
Alien Hand Syndrome,GA,39,54,25
Amaurosis Fugax,GA,9,79,49
Amblyopia,GA,49,42,11
Amnesia,GA,83,27,78
Angina Pectoris,GA,1,50,40
Anisocoria,GA,3,3,42
Anomia,GA,24,48,19
Anorexia,GA,34,68,38
Anoxia,GA,28,63,32
Aphasia,GA,2,60,41
Aphonia,GA,67,17,58
Apnea,GA,82,24,77
Arthralgia,GA,5,9,44
Asthenia,GA,33,67,37
Ataxia,GA,19,44,4
Athetosis,GA,15,15,6
Back Pain,GA,83,27,78
Birth Weight,GA,53,1,68
Blindness,GA,34,68,38
Body Weight,GA,25,49,20
Bulimia,GA,34,68,38
Cachexia,GA,67,17,58
Catalepsy,GA,50,40,12
Catatonia,GA,72,20,70
Cerebellar Ataxia,GA,31,65,35
Chest Pain,GA,83,27,78
Chills,GA,83,27,78
Chorea,GA,11,81,47
Colic,GA,83,27,78
Coma,GA,83,27,78
Communication Disorders,GA,34,68,38
Confusion,GA,22,46,17
Constipation,GA,83,27,78
Coprophagia,GA,16,74,3
Cough,GA,83,27,78
Cyanosis,GA,38,25,15
Deafness,GA,34,68,38
Delirium,GA,12,76,50
Diarrhea,GA,83,27,78
Diplopia,GA,41,61,27
Dizziness,GA,83,27,78
Dysarthria,GA,72,20,70
Dysgeusia,GA,3,3,42
Dyslexia,GA,35,69,39
Dysmenorrhea,GA,75,23,72
Dyspepsia,GA,17,73,1
Dysphonia,GA,33,67,37
Dyspnea,GA,76,26,73
Dystonia,GA,44,12,52
Dysuria,GA,73,21,71
Earache,GA,83,27,78
Ecchymosis,GA,14,14,5
Echolalia,GA,8,78,48
Edema,GA,81,30,80
Emaciation,GA,53,1,68
Encopresis,GA,34,70,38
Eructation,GA,56,18,59
Eye Hemorrhage,GA,40,55,26
Eye Pain,GA,83,27,78
Facial Pain,GA,22,46,17
Facial Paralysis,GA,30,64,34
Fasciculation,GA,6,82,45
Fatigue,GA,83,27,78
Feminization,GA,32,66,36
Fetal Weight,GA,34,73,38
Fever,GA,83,27,78
Flank Pain,GA,78,10,75
Flatulence,GA,42,61,28
Flushing,GA,52,57,14
Gagging,GA,83,27,78
Gastroparesis,GA,80,29,79
Halitosis,GA,28,63,32
Hallucinations,GA,83,27,78
Headache,GA,83,27,78
Hearing Loss,GA,37,58,23
Heart Murmurs,GA,6,73,45
Heartburn,GA,83,27,78
Hematemesis,GA,24,48,19
Hemianopsia,GA,29,63,33
Hemiplegia,GA,60,35,65
Hemoglobinuria,GA,31,65,35
Hemoptysis,GA,46,52,8
Hiccup,GA,83,27,78
Hirsutism,GA,21,44,21
Hoarseness,GA,48,51,10
Horner Syndrome,GA,68,39,61
Hot Flashes,GA,83,27,78
Hydrops Fetalis,GA,8,78,48
Hyperacusis,GA,28,63,32
Hyperalgesia,GA,13,43,51
Hypercapnia,GA,24,48,19
Hyperemesis Gravidarum,GA,18,75,2
Hyperesthesia,GA,10,80,47
Hyperphagia,GA,31,65,35
Hyperventilation,GA,11,81,47
Hypocapnia,GA,67,17,58
Hypothermia,GA,26,4,30
Hypoventilation,GA,1,42,40
Illusions,GA,34,68,38
Intermittent Claudication,GA,10,80,63
Jaundice,GA,83,27,78
Korsakoff Syndrome,GA,77,41,74
Labor Pain,GA,84,28,78
Language Disorders,GA,29,65,33
Learning Disorders,GA,33,67,37
Lethargy,GA,82,24,77
Livedo Reticularis,GA,64,6,55
Low Back Pain,GA,80,29,79
Mental Retardation,GA,34,68,38
Metatarsalgia,GA,27,71,31
Miosis,GA,27,71,31
Morning Sickness,GA,83,27,78
Motion Sickness,GA,80,29,79
Mouth Breathing,GA,63,5,54
Muscle Cramp,GA,55,11,22
Muscle Weakness,GA,31,65,35
Muscular Atrophy,GA,24,48,19
Mutism,GA,4,77,43
Myoclonus,GA,33,67,37
Myokymia,GA,49,42,11
Myotonia,GA,14,14,5
Nausea,GA,83,27,78
Neck Pain,GA,83,27,78
Neuralgia,GA,36,58,24
Nocturia,GA,36,59,24
Obesity,GA,34,68,38
Oliguria,GA,72,20,70
Ophthalmoplegia,GA,51,56,13
Orthostatic Intolerance,GA,56,18,59
Overweight,GA,20,45,16
Pain,GA,83,27,78
Pallor,GA,74,22,71
Paralysis,GA,83,27,78
Paraparesis,GA,32,66,36
Paraplegia,GA,16,74,3
Paresis,GA,41,61,27
Paresthesia,GA,79,37,76
Pelvic Pain,GA,83,27,78
Persistent Vegetative State,GA,17,73,1
Phantom Limb,GA,61,32,63
Photophobia,GA,65,7,56
Polyuria,GA,23,47,18
Presbycusis,GA,47,53,9
Prosopagnosia,GA,57,36,66
Proteinuria,GA,4,77,43
Pruritus,GA,54,2,69
Pseudophakia,GA,69,38,62
